0,0.0006,0.0012,0.0018,0.0024,0.003,0.0036,0.0042,0.0048,0.0054,0.006,0.0066,0.0072,0.0078,0.0084,0.009,0.0096,0.0102,0.0108,0.0114,0.012,0.0126,0.0132,0.0138,0.0144,0.015,0.0156,0.0162,0.0168,0.0174,0.018,0.0186,0.0192,0.0198,0.0204,0.021,0.0216,0.0222,0.0228,0.0234,0.024,0.0246,0.0252,0.0258,0.0264,0.027,0.0276,0.0282,0.0288,0.0294,0.03
0,0.232,0.436,0.607,0.692,0.76,0.814,0.882,0.906,0.926,0.949,0.968,0.967,0.981,0.988,0.989,0.991,0.993,0.993,0.997,0.998,0.995,0.997,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.32221,0.54071,0.68884,0.78925,0.85729,0.90338,0.93461,0.95575,0.97006,0.97975,0.98631,0.99074,0.99374,0.99577,0.99714,0.99807,0.9987,0.99912,0.99941,0.9996,0.99973,0.99982,0.99988,0.99992,0.99994,0.99996,0.99997,0.99998,0.99999,0.99999,0.99999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
